exp,datafeat,feat,dist,enc,rate,optfeat,schedfeat,zdim,zs,beta,addfeat,datapred,test/comm/H_ZlX_mean,test/comm/H_ZlX_sem,test/comm/H_q_S_mean,test/comm/H_q_S_sem,test/comm/H_q_Z_mean,test/comm/H_q_Z_sem,test/comm/H_q_ZlS_mean,test/comm/H_q_ZlS_sem,test/comm/bpp_mean,test/comm/bpp_sem,test/comm/compress_time_mean,test/comm/compress_time_sem,test/comm/encoder_time_mean,test/comm/encoder_time_sem,test/comm/n_bits_mean,test/comm/n_bits_sem,test/comm/rate_mean,test/comm/rate_sem,test/comm/receiver_time_mean,test/comm/receiver_time_sem,test/comm/sender_time_mean,test/comm/sender_time_sem
augmnist_viz_VIC,mnist_aug,neural_rec,VAE,resnet18,H_hyper,AdamW_lr1.0e-03_w1.0e-05,expdecay100,128,1,1.0e-01,None,mnist_aug,0.0,,82.62244415283203,,177.98739624023438,,95.36495208740234,,1.7259405851364136,,0.0083220014348626,,0.0002626797941047,,1767.3631591796875,,177.98739624023438,,0.0081946179270744,,0.0085846800357103,
augmnist_viz_VIC,mnist_aug,neural_rec,VIC,resnet18,H_hyper,AdamW_lr1.0e-03_w1.0e-05,expdecay100,128,1,1.0e-01,None,mnist_aug,0.0,,40.478004455566406,,47.30751800537109,,6.829513072967529,,1.69545316696167,,0.0081935366615653,,0.0002606499183457,,1736.14404296875,,47.30751800537109,,0.0080054672434926,,0.0084541868418455,
