exp,datafeat,feat,dist,enc,rate,optfeat,schedfeat,zdim,zs,beta,addfeat,datapred,test/comm/H_ZlX_mean,test/comm/H_ZlX_sem,test/comm/H_q_Z_mean,test/comm/H_q_Z_sem,test/comm/compress_time_mean,test/comm/compress_time_sem,test/comm/encoder_time_mean,test/comm/encoder_time_sem,test/comm/n_bits_mean,test/comm/n_bits_sem,test/comm/rate_mean,test/comm/rate_sem,test/comm/receiver_time_mean,test/comm/receiver_time_sem,test/comm/sender_time_mean,test/comm/sender_time_sem
banana_viz_VIC,banana_rot,neural_feat,VAE,mlp_fancy,H_factorized,Adam_lr3.0e-04_w0.0e+00,expdecay1000,2,1,7.0e-02,None,banana_rot,0.0,,4.830006122589111,,0.0001090291407308,,1.20425465865992e-06,,64.0,,4.830006122589111,,0.0001339522568741,,0.0001102333917515,
banana_viz_VIC,banana_rot,neural_feat,VIC,mlp_fancy,H_factorized,Adam_lr3.0e-04_w0.0e+00,expdecay1000,2,1,7.0e-02,None,banana_rot,0.0,,2.3018386363983154,,0.0001219848272739,,1.1952590739383595e-06,,64.0,,2.3018386363983154,,0.0001467745460104,,0.000123180085211,
