exp,datafeat,feat,dist,enc,rate,optfeat,schedfeat,zdim,zs,beta,addfeat,datapred,optpred,schedpred,addpred,test/pred/inference_time_mean,test/pred/inference_time_sem,test/pred/loss_mean,test/pred/loss_sem,test/pred/tasks_max_mean,test/pred/tasks_max_sem,test/pred/tasks_mean_mean,test/pred/tasks_mean_sem,test/pred/tasks_median_mean,test/pred/tasks_median_sem,test/pred/tasks_min_mean,test/pred/tasks_min_sem,test/pred/tasks_std_mean,test/pred/tasks_std_sem
banana_viz_VIC,banana_rot,neural_feat,VAE,mlp_fancy,H_factorized,Adam_lr3.0e-04_w0.0e+00,expdecay1000,2,1,7.0e-02,None,banana_rot,Adam_lr3.0e-04_w0.0e+00,unifmultistep100,None,2.738523505740887e-07,,0.0765683725476265,,0.0765683725476265,,0.0765683725476265,,0.0765683725476265,,0.0765683725476265,,,
banana_viz_VIC,banana_rot,neural_feat,VIC,mlp_fancy,H_factorized,Adam_lr3.0e-04_w0.0e+00,expdecay1000,2,1,7.0e-02,None,banana_rot,Adam_lr3.0e-04_w0.0e+00,unifmultistep100,None,2.1490096457910118e-07,,0.0863548219203949,,0.0863548219203949,,0.0863548219203949,,0.0863548219203949,,0.0863548219203949,,,
