exp,datafeat,feat,dist,enc,rate,optfeat,schedfeat,zdim,zs,beta,addfeat,test/feat/H_ZlX_mean,test/feat/H_ZlX_sem,test/feat/H_q_TlZ_mean,test/feat/H_q_TlZ_sem,test/feat/H_q_Z_mean,test/feat/H_q_Z_sem,test/feat/beta_mean,test/feat/beta_sem,test/feat/compress_time_mean,test/feat/compress_time_sem,test/feat/distortion_mean,test/feat/distortion_sem,test/feat/encoder_time_mean,test/feat/encoder_time_sem,test/feat/inference_time_mean,test/feat/inference_time_sem,test/feat/loose_loss_mean,test/feat/loose_loss_sem,test/feat/loss_mean,test/feat/loss_sem,test/feat/n_bits_mean,test/feat/n_bits_sem,test/feat/online_loss_mean,test/feat/online_loss_sem,test/feat/rate_mean,test/feat/rate_sem,test/feat/ratedist_mean,test/feat/ratedist_sem,test/feat/receiver_time_mean,test/feat/receiver_time_sem,test/feat/sender_time_mean,test/feat/sender_time_sem,test/feat/zmax_mean,test/feat/zmax_sem,test/feat/zmean_mean,test/feat/zmean_sem,test/feat/zmin_mean,test/feat/zmin_sem
banana_viz_VIC,banana_rot,neural_feat,VAE,mlp_fancy,H_factorized,Adam_lr3.0e-04_w0.0e+00,expdecay1000,2,1,7.0e-02,None,0.0,,0.1088907420635223,,4.830006122589111,,0.0700000002980232,,0.0001070268044713,,0.1088907420635223,,1.2065124792570714e-06,,0.0005646537756547,,0.4469911754131317,,0.4469911754131317,,64.0,,0.0780209600925445,,4.830006122589111,,4.938896656036377,,0.0001324964541709,,0.0001082333183148,,11.791187286376951,,-0.3203000128269195,,-13.222419738769531,
banana_viz_VIC,banana_rot,neural_feat,VIC,mlp_fancy,H_factorized,Adam_lr3.0e-04_w0.0e+00,expdecay1000,2,1,7.0e-02,None,0.0,,0.0512871444225311,,2.3017771244049072,,0.0700000002980232,,0.000115486618597,,0.0512871444225311,,1.1992049167020014e-06,,0.0130128758028149,,0.2124115377664566,,0.2124115377664566,,64.0,,0.071186825633049,,2.3017771244049072,,2.3530642986297607,,0.0001439672632841,,0.0001166858201031,,0.4010082483291626,,-1.5783843994140625,,-21.417940139770508,
